self.round_id,multiplier,std_time,unix_time
288,3.71,2025-03-16 21:45:33,1742150733
289,1.13,2025-03-16 21:45:49,1742150749
290,1.59,2025-03-16 21:46:05,1742150765
291,1.94,2025-03-16 21:46:22,1742150782
292,1.03,2025-03-16 21:46:34,1742150794
293,1.1,2025-03-16 21:46:43,1742150803
294,19.28,2025-03-16 21:47:27,1742150847
295,1.13,2025-03-16 21:47:41,1742150861
296,1.31,2025-03-16 21:47:52,1742150872
297,2.34,2025-03-16 21:48:13,1742150893
298,3.76,2025-03-16 21:48:46,1742150926
299,6.31,2025-03-16 21:49:13,1742150953
300,4.78,2025-03-16 21:49:39,1742150979
301,1.97,2025-03-16 21:49:58,1742150998
302,5.11,2025-03-16 21:50:32,1742151032
303,1.43,2025-03-16 21:50:50,1742151050
304,1.0,2025-03-16 21:51:00,1742151060
305,29.07,2025-03-16 21:51:48,1742151108
306,1.22,2025-03-16 21:52:06,1742151126
307,1.54,2025-03-16 21:52:22,1742151142
308,1.2,2025-03-16 21:52:35,1742151155
309,1.03,2025-03-16 21:52:44,1742151164
310,75.73,2025-03-16 21:53:44,1742151224
311,1.0,2025-03-16 21:53:57,1742151237
312,1.74,2025-03-16 21:54:16,1742151256
313,1.24,2025-03-16 21:54:28,1742151268
314,2.66,2025-03-16 21:54:49,1742151289
315,3.22,2025-03-16 21:55:12,1742151312
316,1.34,2025-03-16 21:55:27,1742151327
317,1.29,2025-03-16 21:55:41,1742151341
318,1.52,2025-03-16 21:55:57,1742151357
319,2.81,2025-03-16 21:56:20,1742151380
320,4.14,2025-03-16 21:56:45,1742151405
321,157.48,2025-03-16 21:57:55,1742151475
322,1.0,2025-03-16 21:58:09,1742151489
323,1.54,2025-03-16 21:58:24,1742151504
324,1.39,2025-03-16 21:58:38,1742151518
325,1.91,2025-03-16 21:58:56,1742151536
326,4.06,2025-03-16 21:59:24,1742151564
327,3.34,2025-03-16 21:59:51,1742151591
328,216.53,2025-03-16 22:01:03,1742151663
329,2.15,2025-03-16 22:01:26,1742151686
330,6.34,2025-03-16 22:01:57,1742151717
331,1.53,2025-03-16 22:02:16,1742151736
332,15.66,2025-03-16 22:02:59,1742151779
333,1.69,2025-03-16 22:03:19,1742151799
334,5.84,2025-03-16 22:03:51,1742151831
335,3.92,2025-03-16 22:04:17,1742151857
336,1.03,2025-03-16 22:04:33,1742151873
337,1.52,2025-03-16 22:04:51,1742151891
338,1.4,2025-03-16 22:05:09,1742151909
339,1.8,2025-03-16 22:05:28,1742151928
340,1.02,2025-03-16 22:05:43,1742151943
341,1.8,2025-03-16 22:06:02,1742151962
342,1.07,2025-03-16 22:06:14,1742151974
343,2.29,2025-03-16 22:06:33,1742151993
344,1.57,2025-03-16 22:06:51,1742152011
345,3.21,2025-03-16 22:07:17,1742152037
346,3.8,2025-03-16 22:07:43,1742152063
347,67.3,2025-03-16 22:08:41,1742152121
348,2.53,2025-03-16 22:09:06,1742152146
349,3.56,2025-03-16 22:09:32,1742152172
350,1.35,2025-03-16 22:09:49,1742152189
351,2.04,2025-03-16 22:10:11,1742152211
352,2.34,2025-03-16 22:10:31,1742152231
353,1.23,2025-03-16 22:10:46,1742152246
354,4.0,2025-03-16 22:11:12,1742152272
355,1.0,2025-03-16 22:11:25,1742152285
356,3.03,2025-03-16 22:11:50,1742152310
357,1.0,2025-03-16 22:12:01,1742152321
358,1.13,2025-03-16 22:12:15,1742152335
359,1.99,2025-03-16 22:12:34,1742152354
360,1.0,2025-03-16 22:12:47,1742152367
361,1.71,2025-03-16 22:13:07,1742152387
362,1.14,2025-03-16 22:13:17,1742152397
363,6.55,2025-03-16 22:13:49,1742152429
364,4.22,2025-03-16 22:14:19,1742152459
365,1.45,2025-03-16 22:14:34,1742152474
366,26.35,2025-03-16 22:15:24,1742152524
367,1.19,2025-03-16 22:15:38,1742152538
368,3.15,2025-03-16 22:16:03,1742152563
369,1.69,2025-03-16 22:16:20,1742152580
370,1.33,2025-03-16 22:16:37,1742152597
371,2.28,2025-03-16 22:16:56,1742152616
372,1.03,2025-03-16 22:17:07,1742152627
373,1.21,2025-03-16 22:17:20,1742152640
374,1.01,2025-03-16 22:18:01,1742152681
375,1.71,2025-03-16 22:18:24,1742152704
376,6.72,2025-03-16 22:18:49,1742152729
377,1.31,2025-03-16 22:19:07,1742152747
378,21.37,2025-03-16 22:19:52,1742152792
379,2.24,2025-03-16 22:20:13,1742152813
380,23.93,2025-03-16 22:21:02,1742152862
381,3.41,2025-03-16 22:21:28,1742152888
382,4.57,2025-03-16 22:21:57,1742152917
383,20.2,2025-03-16 22:22:43,1742152963
384,1.0,2025-03-16 22:22:56,1742152976
385,3.79,2025-03-16 22:23:22,1742153002
386,10.65,2025-03-16 22:24:03,1742153043
387,1.17,2025-03-16 22:24:20,1742153060
388,1.19,2025-03-16 22:24:38,1742153078
389,1.36,2025-03-16 22:24:51,1742153091
390,1.09,2025-03-16 22:25:04,1742153104
391,1.03,2025-03-16 22:25:15,1742153115
392,2.47,2025-03-16 22:25:36,1742153136
393,1.83,2025-03-16 22:25:55,1742153155
394,1.09,2025-03-16 22:26:08,1742153168
395,6.78,2025-03-16 22:26:39,1742153199
396,6.19,2025-03-16 22:27:13,1742153233
397,1.02,2025-03-16 22:27:28,1742153248
398,9.38,2025-03-16 22:28:03,1742153283
399,2.55,2025-03-16 22:28:26,1742153306
400,1.74,2025-03-16 22:28:49,1742153329
401,1.3,2025-03-16 22:29:03,1742153343
402,1.32,2025-03-16 22:29:17,1742153357
403,1.38,2025-03-16 22:29:31,1742153371
404,1.04,2025-03-16 22:29:42,1742153382
405,1.12,2025-03-16 22:29:53,1742153393
406,6.34,2025-03-16 22:30:24,1742153424
407,4.38,2025-03-16 22:30:53,1742153453
408,2.02,2025-03-16 22:31:13,1742153473
409,6.55,2025-03-16 22:31:46,1742153506
410,5.53,2025-03-16 22:32:17,1742153537
411,1.86,2025-03-16 22:32:37,1742153557
412,1.0,2025-03-16 22:32:47,1742153567
413,6.3,2025-03-16 22:33:18,1742153598
414,1.64,2025-03-16 22:33:36,1742153616
415,1.51,2025-03-16 22:33:52,1742153632
416,1.3,2025-03-16 22:34:06,1742153646
417,1.11,2025-03-16 22:34:17,1742153657
418,2.19,2025-03-16 22:34:36,1742153676
419,1.3,2025-03-16 22:34:49,1742153689
420,5.96,2025-03-16 22:35:20,1742153720
421,6.08,2025-03-16 22:35:51,1742153751
422,1.07,2025-03-16 22:36:03,1742153763
423,1.19,2025-03-16 22:36:15,1742153775
424,4.89,2025-03-16 22:36:44,1742153804
425,1.0,2025-03-16 22:36:56,1742153816
426,1.4,2025-03-16 22:37:12,1742153832
427,3.01,2025-03-16 22:37:35,1742153855
428,2.44,2025-03-16 22:37:55,1742153875
429,1.01,2025-03-16 22:38:07,1742153887
430,1.58,2025-03-16 22:38:21,1742153901
431,1.8,2025-03-16 22:38:38,1742153918
432,2.04,2025-03-16 22:38:56,1742153936
433,2.49,2025-03-16 22:39:16,1742153956
434,4.01,2025-03-16 22:39:43,1742153983
435,5.12,2025-03-16 22:40:14,1742154014
436,259.9,2025-03-16 22:41:29,1742154089
437,1.59,2025-03-16 22:41:49,1742154109
438,13.46,2025-03-16 22:42:29,1742154149
439,1.26,2025-03-16 22:42:43,1742154163
440,5.66,2025-03-16 22:43:14,1742154194
441,2.28,2025-03-16 22:43:34,1742154214
